rank,iou,country,area_km2
196,0.4801,Cayman Is.,218
197,0.4760,American Samoa,120
198,0.4711,New Zealand,149472
199,0.4706,Eritrea,122461
200,0.4689,Haiti,25877
201,0.4657,Laos,228233
202,0.4631,Congo,345333
203,0.4620,Bahrain,540
204,0.4584,Mexico,1953076
205,0.4581,Norway,312323
206,0.4573,Morocco,581746
207,0.4543,Uzbekistan,447575
208,0.4542,Aruba,155
209,0.4400,Nepal,146977
210,0.4350,Japan,227942
211,0.4194,Seychelles,174
212,0.4162,Somalia,639344
213,0.4097,N. Cyprus,3470
214,0.4085,Anguilla,83
215,0.4028,S. Geo. and the Is.,3603
216,0.3951,Sweden,441301
217,0.3929,Malaysia,194612
218,0.3924,St. Pierre and Miquelon,172
219,0.3909,Tuvalu,10
220,0.3904,Malawi,119162
221,0.3763,Guam,480
222,0.3706,Togo,56901
223,0.3613,Kiribati,409
224,0.3435,New Caledonia,16449
225,0.3286,Bermuda,66
226,0.2945,Panama,73133
227,0.2939,Curaçao,428
228,0.2661,Gambia,10275
229,0.2601,Marshall Is.,93
230,0.1945,Vietnam,326748
231,0.1683,Chile,660283
